min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,1,salience_only,0.3,IRR,0.2,0.015178657514298434,0.18979697896930323,-0.010203021030696785
2,1,salience_only,0.3,Geological Feasibility,0.15,0.09803584652179755,0.14587005493297203,-0.0041299450670279625
2,1,salience_only,0.3,Market Stability,0.15,0.020857228284408506,0.1425891344922242,-0.007410865507775782
2,1,salience_only,0.3,Local Employment,0.15,0.7433989540616389,0.17330492043832832,0.023304920438328325
2,1,salience_only,0.3,Community Infrastructure,0.1,0.5424309706686128,0.10984108136796963,0.009841081367969629
2,1,salience_only,0.5,NPV,0.25,0.03425533287855602,0.23167227070173896,-0.018327729298261042
2,1,salience_only,0.5,IRR,0.2,0.015178657514298434,0.18359977055403034,-0.016400229445969666
2,1,salience_only,0.5,Geological Feasibility,0.15,0.09803584652179755,0.14336156943176626,-0.0066384305682337386
2,1,salience_only,0.5,Market Stability,0.15,0.020857228284408506,0.13808785218073347,-0.011912147819266528
2,1,salience_only,0.5,Local Employment,0.15,0.7433989540616389,0.18746008571958708,0.03746008571958709
2,1,salience_only,0.5,Community Infrastructure,0.1,0.5424309706686128,0.11581845141214382,0.015818451412143816
2,1,salience_only,0.8,NPV,0.25,0.03425533287855602,0.2221608358136137,-0.027839164186386295
2,1,salience_only,0.8,IRR,0.2,0.015178657514298434,0.17508863903374677,-0.024911360966253238
2,1,salience_only,0.8,Geological Feasibility,0.15,0.09803584652179755,0.1399164617983244,-0.010083538201675596
2,1,salience_only,0.8,Market Stability,0.15,0.020857228284408506,0.13190587423262906,-0.018094125767370933
2,1,salience_only,0.8,Local Employment,0.15,0.7433989540616389,0.20690052814576634,0.05690052814576635
2,1,salience_only,0.8,Community Infrastructure,0.1,0.5424309706686128,0.12402766097591965,0.024027660975919643
2,2,salience_times_contention,0.0,NPV,0.25,0.02034605994308865,0.25,0.0
2,2,salience_times_contention,0.0,IRR,0.2,0.010730823499604006,0.2,0.0
2,2,salience_times_contention,0.0,Geological Feasibility,0.15,0.03530537066460499,0.15,0.0
2,2,salience_times_contention,0.0,Market Stability,0.15,0.015641075083183492,0.15,0.0
2,2,salience_times_contention,0.0,Local Employment,0.15,0.6831661207249191,0.15,0.0
2,2,salience_times_contention,0.0,Community Infrastructure,0.1,0.48822009582578846,0.1,0.0
2,2,salience_times_contention,0.1,NPV,0.25,0.02034605994308865,0.24641395206565248,-0.003586047934347525
2,2,salience_times_contention,0.1,IRR,0.2,0.010730823499604006,0.1969420002484818,-0.0030579997515182145
2,2,salience_times_contention,0.1,Geological Feasibility,0.15,0.03530537066460499,0.14806909312981417,-0.0019309068701858223
2,2,salience_times_contention,0.1,Market Stability,0.15,0.015641075083183492,0.1477789500493366,-0.002221049950663384
2,2,salience_times_contention,0.1,Local Employment,0.15,0.6831661207249191,0.15762815986397163,0.00762815986397164
2,2,salience_times_contention,0.1,Community Infrastructure,0.1,0.48822009582578846,0.10316784464274312,0.0031678446427431117
2,2,salience_times_contention,0.3,NPV,0.25,0.02034605994308865,0.23958241821717838,-0.010417581782821622
2,2,salience_times_contention,0.3,IRR,0.2,0.010730823499604006,0.19111641475894386,-0.008883585241056147
2,2,salience_times_contention,0.3,Geological Feasibility,0.15,0.03530537066460499,0.14439065494844455,-0.005609345051555442
2,2,salience_times_contention,0.3,Market Stability,0.15,0.015641075083183492,0.14354778019469563,-0.00645221980530436
2,2,salience_times_contention,0.3,Local Employment,0.15,0.6831661207249191,0.17216004378363753,0.022160043783637534
2,2,salience_times_contention,0.3,Community Infrastructure,0.1,0.48822009582578846,0.10920268809710015,0.009202688097100148
2,2,salience_times_contention,0.5,NPV,0.25,0.02034605994308865,0.2331701334245295,-0.016829866575470503
2,2,salience_times_contention,0.5,IRR,0.2,0.010730823499604006,0.18564834359492796,-0.01435165640507205
2,2,salience_times_contention,0.5,Geological Feasibility,0.15,0.03530537066460499,0.1409379613463534,-0.009062038653646604
2,2,salience_times_contention,0.5,Market Stability,0.15,0.015641075083183492,0.1395762758860273,-0.010423724113972688
2,2,salience_times_contention,0.5,Local Employment,0.15,0.6831661207249191,0.18580011061686036,0.035800110616860364
2,2,salience_times_contention,0.5,Community Infrastructure,0.1,0.48822009582578846,0.11486717513130155,0.01486717513130155
2,2,salience_times_contention,0.8,NPV,0.25,0.02034605994308865,0.22425708915700548,-0.025742910842994515
2,2,salience_times_contention,0.8,IRR,0.2,0.010730823499604006,0.1780477516189262,-0.02195224838107382
2,2,salience_times_contention,0.8,Geological Feasibility,0.15,0.03530537066460499,0.1361387342513693,-0.013861265748630697
2,2,salience_times_contention,0.8,Market Stability,0.15,0.015641075083183492,0.1340559044651565,-0.015944095534843494
2,2,salience_times_contention,0.8,Local Employment,0.15,0.6831661207249191,0.2047597363084509,0.05475973630845091
